"","component_name","pct_weight","is_refuse","gram_weight","nutrient_name","nutrient_amount","min","max","median","nutrient_unit"
"1","Bone and cartilage",32.4,"Y",33.7,"Cholesterol",127,102,135,132,"MG"
"2","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total trans",0.03,NA,NA,NA,"G"
"3","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total saturated",1.6,NA,NA,NA,"G"
"4","Bone and cartilage",32.4,"Y",33.7,"8:0",0.002,0.001,0.003,0.002,"G"
"5","Bone and cartilage",32.4,"Y",33.7,"12:0",0.003,0.002,0.004,0.003,"G"
"6","Bone and cartilage",32.4,"Y",33.7,"14:0",0.03,0.025,0.032,0.031,"G"
"7","Bone and cartilage",32.4,"Y",33.7,"22:6 n-3 (DHA)",0.005,0.001,0.006,0.006,"G"
"8","Bone and cartilage",32.4,"Y",33.7,"22:0",0.007,0.006,0.008,0.007,"G"
"9","Bone and cartilage",32.4,"Y",33.7,"20:5 n-3 (EPA)",0.004,0.004,0.005,0.004,"G"
"10","Bone and cartilage",32.4,"Y",33.7,"22:5 n-3 (DPA)",0.008,0.008,0.009,0.008,"G"
"11","Bone and cartilage",32.4,"Y",33.7,"17:0",0.006,0.005,0.007,0.006,"G"
"12","Bone and cartilage",32.4,"Y",33.7,"24:0",0,0,0,0,"G"
"13","Bone and cartilage",32.4,"Y",33.7,"16:1 t",0.003,0.002,0.004,0.003,"G"
"14","Bone and cartilage",32.4,"Y",33.7,"24:1 c",0.002,0.002,0.003,0.002,"G"
"15","Bone and cartilage",32.4,"Y",33.7,"18:1 c",1.94,1.72,2.11,1.96,"G"
"16","Bone and cartilage",32.4,"Y",33.7,"18:2 n-6 c,c",1.05,0.944,1.3,0.973,"G"
"17","Bone and cartilage",32.4,"Y",33.7,"22:1 c",0,0,0,0,"G"
"18","Bone and cartilage",32.4,"Y",33.7,"17:1",0.003,0.002,0.005,0.003,"G"
"19","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total trans-monoenoic",0.021,NA,NA,NA,"G"
"20","Bone and cartilage",32.4,"Y",33.7,"15:1",0,0,0,0,"G"
"21","Bone and cartilage",32.4,"Y",33.7,"18:3 n-3 c,c,c (ALA)",0.045,0.035,0.059,0.042,"G"
"22","Bone and cartilage",32.4,"Y",33.7,"20:3 n-3",0,0,0,0,"G"
"23","Bone and cartilage",32.4,"Y",33.7,"22:4",0.022,0.02,0.024,0.022,"G"
"24","Bone and cartilage",32.4,"Y",33.7,"Protein",23.9,23,24.6,24.1,"G"
"25","Bone and cartilage",32.4,"Y",33.7,"Ash",0.98,0.92,1.13,0.95,"G"
"26","Bone and cartilage",32.4,"Y",33.7,"Energy",652,NA,NA,NA,"kJ"
"27","Bone and cartilage",32.4,"Y",33.7,"Iron, Fe",0.94,0.78,1.05,1,"MG"
"28","Bone and cartilage",32.4,"Y",33.7,"Magnesium, Mg",22.4,21.1,23.7,22.3,"MG"
"29","Bone and cartilage",32.4,"Y",33.7,"Phosphorus, P",184,170,193,187,"MG"
"30","Bone and cartilage",32.4,"Y",33.7,"Sodium, Na",117,97,169,106,"MG"
"31","Bone and cartilage",32.4,"Y",33.7,"Copper, Cu",0.063,0.049,0.071,0.064,"MG"
"32","Bone and cartilage",32.4,"Y",33.7,"Manganese, Mn",0.018,0.014,0.021,0.018,"MG"
"33","Bone and cartilage",32.4,"Y",33.7,"Retinol",7,NA,NA,7,"UG"
"34","Bone and cartilage",32.4,"Y",33.7,"Vitamin A, RAE",7,NA,NA,NA,"UG"
"35","Bone and cartilage",32.4,"Y",33.7,"Vitamin D3 (cholecalciferol)",0.1,NA,NA,0.1,"UG"
"36","Bone and cartilage",32.4,"Y",33.7,"Vitamin D (D2 + D3)",0.1,NA,NA,NA,"UG"
"37","Bone and cartilage",32.4,"Y",33.7,"Tocopherol, delta",0,NA,NA,0,"MG"
"38","Bone and cartilage",32.4,"Y",33.7,"Tocotrienol, gamma",0.05,NA,NA,0.05,"MG"
"39","Bone and cartilage",32.4,"Y",33.7,"Tocotrienol, delta",0,NA,NA,0,"MG"
"40","Bone and cartilage",32.4,"Y",33.7,"Thiamin",0.088,0.08,0.09,0.09,"MG"
"41","Bone and cartilage",32.4,"Y",33.7,"Riboflavin",0.18,0.16,0.19,0.18,"MG"
"42","Bone and cartilage",32.4,"Y",33.7,"Vitamin B-12",0.41,0.31,0.52,0.41,"UG"
"43","Bone and cartilage",32.4,"Y",33.7,"Total lipid (fat)",5.95,5.54,6.33,5.93,"G"
"44","Bone and cartilage",32.4,"Y",33.7,"Carbohydrate, by difference",0,NA,NA,NA,"G"
"45","Bone and cartilage",32.4,"Y",33.7,"Energy",156,NA,NA,NA,"KCAL"
"46","Bone and cartilage",32.4,"Y",33.7,"Water",69.9,69.7,70.2,69.9,"G"
"47","Bone and cartilage",32.4,"Y",33.7,"Calcium, Ca",12,11,14,12,"MG"
"48","Bone and cartilage",32.4,"Y",33.7,"Potassium, K",239,229,263,235,"MG"
"49","Bone and cartilage",32.4,"Y",33.7,"Zinc, Zn",2.54,2.22,2.78,2.64,"MG"
"50","Bone and cartilage",32.4,"Y",33.7,"Selenium, Se",27.9,20.3,34.5,29.8,"UG"
"51","Bone and cartilage",32.4,"Y",33.7,"Vitamin E (alpha-tocopherol)",0.17,NA,NA,0.17,"MG"
"52","Bone and cartilage",32.4,"Y",33.7,"Vitamin D (D2 + D3), International Units",2,NA,NA,2,"IU"
"53","Bone and cartilage",32.4,"Y",33.7,"Tocopherol, beta",0,NA,NA,0,"MG"
"54","Bone and cartilage",32.4,"Y",33.7,"Tocopherol, gamma",0.08,NA,NA,0.08,"MG"
"55","Bone and cartilage",32.4,"Y",33.7,"Tocotrienol, alpha",0.01,NA,NA,0.01,"MG"
"56","Bone and cartilage",32.4,"Y",33.7,"Tocotrienol, beta",0,NA,NA,0,"MG"
"57","Bone and cartilage",32.4,"Y",33.7,"Niacin",5.05,4.89,5.24,5.05,"MG"
"58","Bone and cartilage",32.4,"Y",33.7,"Pantothenic acid",1.1,NA,NA,1.1,"MG"
"59","Bone and cartilage",32.4,"Y",33.7,"Vitamin B-6",0.372,0.31,0.426,0.363,"MG"
"60","Bone and cartilage",32.4,"Y",33.7,"4:0",0.001,0.001,0.001,0.001,"G"
"61","Bone and cartilage",32.4,"Y",33.7,"6:0",0.001,0.001,0.002,0.001,"G"
"62","Bone and cartilage",32.4,"Y",33.7,"10:0",0,0,0,0,"G"
"63","Bone and cartilage",32.4,"Y",33.7,"16:0",1.2,1.09,1.3,1.22,"G"
"64","Bone and cartilage",32.4,"Y",33.7,"18:0",0.346,0.324,0.367,0.338,"G"
"65","Bone and cartilage",32.4,"Y",33.7,"20:0",0.004,0.003,0.005,0.004,"G"
"66","Bone and cartilage",32.4,"Y",33.7,"20:4",0.088,0.083,0.094,0.087,"G"
"67","Bone and cartilage",32.4,"Y",33.7,"18:4",0,0,0,0,"G"
"68","Bone and cartilage",32.4,"Y",33.7,"20:1",0.023,0.018,0.025,0.024,"G"
"69","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total monounsaturated",2.35,NA,NA,NA,"G"
"70","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total polyunsaturated",1.24,NA,NA,NA,"G"
"71","Bone and cartilage",32.4,"Y",33.7,"15:0",0.005,0.004,0.005,0.005,"G"
"72","Bone and cartilage",32.4,"Y",33.7,"18:1 t",0.018,0.015,0.021,0.02,"G"
"73","Bone and cartilage",32.4,"Y",33.7,"22:1 t",0,0,0,0,"G"
"74","Bone and cartilage",32.4,"Y",33.7,"18:2 t not further defined",0.008,0.007,0.011,0.007,"G"
